0,1,2,3,4,5,6,7,8,9,10,11,12
성수족발,서울시 성동구 성수동2가 289-273 동진빌딩 1F,02-464-0425,고기 요리,족발 (중),35000.0,"족발 (중):35,000원//족발 (대):40,000원//족발 (특대):45,000원/",12:00 - 22:00,4.1,159.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/28145_145558290712604.jpg,31.0
가온,서울시 강남구 신사동 651-24 호림아트센터 MF,02-545-9845,한정식 / 백반 / 정통 한식,,,,17:30 - 23:00,4.3,12.0,,https://mp-seoul-image-production-s3.mangoplate.com/191654/744155_1595319092760_33533,32.0
아꼬떼뒤파르크,서울시 성동구 성수동1가 685-477,070-4118-2009,카페 / 디저트,사블레 오 노아제트,5500.0,"사블레 오 노아제트:5,500원//보스톡 코코 에 패션후르츠:4,500원//케크 오 시트롱:6,500원/",10:00 - 20:00,3.9,53.0,,https://mp-seoul-image-production-s3.mangoplate.com/521155_1493878285669205.jpg,33.0
슬로우캘리,서울시 마포구 연남동 390-42,02-336-0688,세계음식 기타,,,,11:00 - 21:30,4.3,90.0,,https://mp-seoul-image-production-s3.mangoplate.com/346144/26737_1553007594365_51100,34.0
봉순이네다락방,서울시 성동구 행당동 292-33,02-2299-8057,카페 / 디저트,,,,12:00 - 22:00,3.9,24.0,,https://mp-seoul-image-production-s3.mangoplate.com/49192/569295_1517233172317_457246,35.0
우마담,서울시 마포구 서교동 399-19,02-6348-0518,고기 요리,한우 오마카세(Signature),70000.0,"한우 오마카세(Signature):70,000원//한우 오마카세(Premium):120,000원/",17:00 - 23:00,4.3,23.0,,https://mp-seoul-image-production-s3.mangoplate.com/383263/434101_1560860568360_7040,36.0
로로11,서울시 마포구 서교동 398-5,02-6085-1010,이탈리안,까르보나라,15000.0,"까르보나라:15,000원//봉골레:16,000원//엔초비 날치알:12,000원//뇨끼:14,500원/",12:00 - 22:00,4.1,113.0,,https://mp-seoul-image-production-s3.mangoplate.com/186126_1432468306708,37.0
강서면옥,서울시 강남구 신사동 645-30,02-3445-0092,국수 / 면 요리,평양냉면 (물/비빔),13000.0,"평양냉면 (물/비빔):13,000원//육개장만두전골 (중):38,000원//녹두전:13,000원//만두알 (1개):3,000원/",11:00 - 22:00,4.3,101.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/54303_1445166091215.jpg,38.0
해로커피,서울시 성북구 성북동1가 66,02-6012-9871,카페 / 디저트,,,,11:00 - 22:00,3.9,11.0,,https://mp-seoul-image-production-s3.mangoplate.com/390531/1013171_1600075282062_24465,39.0
아니스,서울시 성동구 옥수동 220-1 한남하이츠상가 1F,02-2299-2822,카페 / 디저트,,,,월-금: 09:00 - 21:30 토-일: 10:00 - 21:30,4.0,31.0,,https://mp-seoul-image-production-s3.mangoplate.com/90206_1424184349414,40.0
제뉴어리피크닉,서울시 성북구 성북동1가 48,02-747-5394,카페 / 디저트,,,,,3.9,12.0,,https://mp-seoul-image-production-s3.mangoplate.com/352046/1618189_1596629973674_9044,41.0
임프레션,서울시 강남구 신사동 649-7 5F,02-6925-5522,프랑스 음식,,,,17:30 - 22:00,4.4,15.0,,https://mp-seoul-image-production-s3.mangoplate.com/613439_1592319062205214.jpg,42.0
행운돈가스,서울시 성동구 행당동 20-17,02-2296-3406,기타 한식,,,,11:00 - 21:30,3.8,39.0,,https://mp-seoul-image-production-s3.mangoplate.com/48873_1435145151677,43.0
태극당,서울시 성북구 동선동1가 118-1,02-926-0544,베이커리,,,,08:00 - 22:30,3.4,28.0,,https://mp-seoul-image-production-s3.mangoplate.com/186781/reviews/a645b3f5eab2.jpg,44.0
스시진,서울시 성북구 동소문동5가 118-3,02-924-3730,회 / 스시,오늘의초밥(10pcs),10000.0,"오늘의초밥(10pcs):10,000원//초밥세트:10,000원//특선초밥:13,000원//사시미정식:20,000원//스페셜 초밥:20,000원/",11:30 - 22:00,3.4,43.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/709192_1485279780175999.jpg,45.0
싸움의고수,서울시 성북구 안암동5가 102-57,02-921-1578,고기 요리,,,,11:00 - 22:30,3.2,19.0,,https://mp-seoul-image-production-s3.mangoplate.com/223799/429519_1446781009538_7885,46.0
여우주막,서울시 성동구 행당동 19-84,02-2282-6960,일반 주점,,,,16:00 - 02:00,4.0,12.0,,https://mp-seoul-image-production-s3.mangoplate.com/791044_1502875993986570.jpg,47.0
매덕스피자,서울시 강남구 신사동 541-11 1F,02-542-2420,기타 양식,,,,12:00 - 22:00,4.5,25.0,,https://mp-seoul-image-production-s3.mangoplate.com/410467/682807_1598799994213_19701,48.0
나누리잡화점,서울시 성동구 성수동2가 315-55,02-467-0344,일반 주점,,,,월-금: 16:00 - 01:00 토-일: 14:00 - 01:00,3.7,7.0,,https://mp-seoul-image-production-s3.mangoplate.com/26135_1598948911696244.jpg,49.0
누이테이블,서울시 성동구 성수동2가 299-94 1F,02-498-4656,이탈리안,,,,12:00 - 22:00,3.9,20.0,,https://mp-seoul-image-production-s3.mangoplate.com/256213/885889_1535200302555_24188,50.0
삼원가든,서울시 강남구 신사동 623-5,02-548-3030,고기 요리,양념갈비 (160g),46000.0,"양념갈비 (160g):46,000원//한우 생갈비 (150g):85,000원//한우 양념갈비 (150g):66,000원//특 꽃등심 (130g):82,000원//생등심 불고기 (200g):47,000원/",12:00 - 22:00,4.3,57.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/259634_1456054373945823.jpg,51.0
펠트커피,서울시 강남구 신사동 645-21,070-7756-3145,카페 / 디저트,,,,11:00 - 20:00,4.3,32.0,,https://mp-seoul-image-production-s3.mangoplate.com/388421/513273_1598080856804_10051,52.0
리도엘리펀트,서울시 성동구 성수동2가 333-97,02-6085-7979,카페 / 디저트,,,,월,3.9,22.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/743761_1490260554817431.jpg,53.0
장스테이크,서울시 강남구 신사동 639 요한빌딩 5F,02-548-9621,스테이크 / 바베큐,한우안심스테이크 (180g),51000.0,"한우안심스테이크 (180g):51,000원//한우꽃등심스테이크 (200g):49,000원//한우채끝등심스테이크 (200g):47,000원//런치스테이크코스:38,000원//디너스테이크코스:59,000원/",12:00 - 22:00,4.5,140.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/336847_1454728407120.jpg,54.0
Poze,서울시 성동구 성수동2가 315-41,070-8830-5994,카페 / 디저트,,,,10:00 - 22:00,3.8,15.0,,https://mp-seoul-image-production-s3.mangoplate.com/361880/26737_1593952266901_2222,55.0
센터커피,서울시 성동구 성수동1가 685-478,070-8868-2008,카페 / 디저트,에스프레소,5000.0,"에스프레소:5,000원//아메리카노:5,000원//라떼:6,000원//카푸치노:6,000원//콜드브루:7,000원/",월,4.2,108.0,,https://mp-seoul-image-production-s3.mangoplate.com/67078_1534563334777576.jpg,56.0
세인트그릴,서울시 강남구 신사동 550-8,"
브런치 / 버거 / 샌드위치
",,,,,,4.3,8.0,,https://mp-seoul-image-production-s3.mangoplate.com/1089560_1599122439124827.jpg,57.0
옥정김밥,서울시 성동구 옥수동 314-10,02-2297-5646,기타 한식,,,,06:00 - 21:00,4.3,5.0,,https://mp-seoul-image-production-s3.mangoplate.com/231800/743008_1599274763101_29825,58.0
이요이요스시,서울시 마포구 공덕동 476 공덕파크자이,010-4128-2535,회 / 스시,런치 오마카세,40000.0,"런치 오마카세:40,000원//디너 오마카세:60,000원/",12:00 - 21:30,4.6,14.0,,https://mp-seoul-image-production-s3.mangoplate.com/339337/336505_1512885968347_37282,59.0
강남진해장,서울시 강남구 역삼동 819-4,02-557-2662,탕 / 찌개 / 전골,,,,월: 08:00 - 24:00 화-토: 00:00 - 24:00 일: 00:00 - 22:00,4.3,57.0,,https://mp-seoul-image-production-s3.mangoplate.com/523082_1497584727932655.jpg,60.0
메쉬커피,서울시 성동구 성수동1가 685-307,02-464-7078,카페 / 디저트,,,,월-토: 10:00 - 18:00,3.9,17.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/65460_1466661969930628.jpg,61.0
버블,서울시 성북구 안암동5가 56-1,02-924-4325,일반 주점,,,,17:00 - 03:00,3.9,11.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/478879_1474016594960896.jpg,62.0
휘스커,서울시 성동구 성수동2가 299-136,"
카페 / 디저트
",,,,,"

                      식당 홈페이지로 가기
                    
",3.7,41.0,,https://mp-seoul-image-production-s3.mangoplate.com/33537_1495062340891153.jpg,63.0
정돈,서울시 강남구 역삼동 811-4 1F,02-563-0924,까스 요리,,,,11:30 - 22:00,4.5,182.0,,https://mp-seoul-image-production-s3.mangoplate.com/1088921_1550123500708642.jpg,64.0
신성각,서울시 마포구 신공덕동 2-463,02-716-1210,정통 중식 / 일반 중식,,,,11:30 - 16:00,4.3,36.0,,https://mp-seoul-image-production-s3.mangoplate.com/2054_1427262232303,65.0
갱상도갱양식,서울시 성북구 동선동2가 135-25,"
스테이크 / 바베큐
",,,,,,3.7,24.0,,https://mp-seoul-image-production-s3.mangoplate.com/815954_1530764945538993.jpg,66.0
램랜드,서울시 마포구 용강동 494-32,02-704-0223,기타 중식,,,,11:30 - 22:00,4.3,32.0,,https://mp-seoul-image-production-s3.mangoplate.com/14881/107937_143528735978211049,67.0
미라이,서울시 강남구 신사동 557-25 끌레르빌 1F,02-540-0934,이자카야 / 오뎅 / 꼬치,사시미8종 (2인),41000.0,"사시미8종 (2인):41,000원//마구로치즈아에:19,000원//양갈비 스미비 야끼:23,000원//노도구로 시오 야끼:35,000원//규 스테이크:41,000원/",일,4.8,77.0,,https://mp-seoul-image-production-s3.mangoplate.com/281547/753280_1550146766591_11966,68.0
원마산아구찜,서울시 마포구 용강동 122-1,02-719-0687,해산물 요리,,,,11:30 - 21:20,4.3,25.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/14650_1465385764848732.jpg,69.0
하루노유키,서울시 성동구 성수동1가 685-428,02-548-8662,카페 / 디저트,,,,09:00 - 20:00,3.8,8.0,,https://mp-seoul-image-production-s3.mangoplate.com/112555_1495953052694639.jpg,70.0
버거쑈,서울시 성동구 행당동 3-20,02-2297-7592,브런치 / 버거 / 샌드위치,,,,11:00 - 21:30,3.9,21.0,,https://mp-seoul-image-production-s3.mangoplate.com/268922/797281_1497068434317_797281_1497068392564_28950,71.0
알라프리마,서울시 강남구 논현동 42-6 1F,02-511-2555,이탈리안,,,,12:00 - 21:00,4.7,64.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/63176_1468144532794478.jpg,72.0
톡톡,서울시 강남구 청담동 69-5 리유빌딩 3F,02-542-3030,이탈리안,Lunch Course,55000.0,"Lunch Course:55,000원//Weekend Lunch Course:65,000원//Dinner Course:130,000원//Cold Lobster Pasta:35,000원//Wando Abalone Risotto:42,000원/",12:00 - 22:00,4.6,141.0,,https://mp-seoul-image-production-s3.mangoplate.com/12873_1435484239422,73.0
나카노라멘,서울시 성북구 동선동1가 85-36,02-953-6256,라멘 / 소바 / 우동,,,,월-토: 11:00 - 21:00 일: 12:00 - 21:00,3.4,10.0,,https://mp-seoul-image-production-s3.mangoplate.com/621267_1504532149148724.jpg,74.0
카페그레도,서울시 성북구 석관동 168-23 1F,070-8290-3033,카페 / 디저트,,,,09:00 - 22:00,3.7,9.0,,https://mp-seoul-image-production-s3.mangoplate.com/1572468_1598791591212285.jpg,75.0
이디야커피랩,서울시 강남구 논현동 221-17,02-545-6467,카페 / 디저트,,,,07:30 - 02:00,4.3,87.0,,https://mp-seoul-image-production-s3.mangoplate.com/639344_1509599924180843.jpg,76.0
음,서울시 강남구 논현동 11-5,02-540-4777,기타 일식,세이로무시 (중),68000.0,"세이로무시 (중):68,000원//도나베 스지오뎅:35,000원//타코 가라아게:16,000원//살치살구이:29,000원//타코와사비:12,000원/",17:00 - 24:00,4.3,26.0,,https://mp-seoul-image-production-s3.mangoplate.com/190255_1426136221533,77.0
란주쿠,서울시 강남구 삼성동 149-24 예논빌딩,02-539-6323,이자카야 / 오뎅 / 꼬치,,,,18:00 - 02:00,4.3,9.0,,https://mp-seoul-image-production-s3.mangoplate.com/363010/1245199_1547044755715_11984,78.0
오박사네왕돈가스,서울시 성북구 성북동 131-32,02-3673-5730,기타 한식,돈가스,9500.0,"돈가스:9,500원//비후가스:11,000원//생선가스:9,500원//치즈돈가스:11,000원//오박사정식:11,000원/",09:00 - 23:00,3.4,22.0,,https://mp-seoul-image-production-s3.mangoplate.com/2744/499239_1458262925889_65660,79.0
페페로니,서울시 마포구 합정동 473 딜라이트스퀘어2차,010-9567-0629,퓨전 양식,,,,화-금: 18:00 - 24:00 토-일: 12:00 - 24:00,4.3,7.0,,https://mp-seoul-image-production-s3.mangoplate.com/5475_1588140130369745.jpg,80.0
당신의나의케이크,서울시 성북구 동선동2가 295,02-922-2016,카페 / 디저트,,,,12:00 - 20:00,3.4,13.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/242283_1477805525120293.jpg,81.0
만두집,서울시 강남구 신사동 661-1,02-544-3710,탕 / 찌개 / 전골,만두전골,60000.0,"만두전골:60,000원//만두국:12,000원//빈대떡:20,000원//고추천:20,000원//비지:10,000원/",11:00 - 21:00,4.3,50.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/618033_1490435515142556.jpg,82.0
강화통통생고기,서울시 마포구 서교동 444-2,02-322-1838,고기 요리,,,,17:00 - 05:00,4.3,26.0,,https://mp-seoul-image-production-s3.mangoplate.com/832260_1538992729782935.jpg,83.0
앤드밀,서울시 성동구 성수동1가 8-29,010-4564-0919,카페 / 디저트,,,,월-토: 11:00 - 20:30 일: 12:00 - 19:30,3.9,25.0,,https://mp-seoul-image-production-s3.mangoplate.com/26135_1598948464679641.jpg,84.0
어펄슨,서울시 성북구 안암동5가 101-47 B1,02-929-0613,기타 양식,,,,월-금: 11:00 - 24:00 토-일: 17:00 - 23:00,3.8,8.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/611543_1483884750657558.jpg,85.0
스시카나에,서울시 강남구 청담동 96-22 노노빌딩 2F,02-516-3350,회 / 스시,런치 오마카세,60000.0,"런치 오마카세:60,000원//디너 오마카세:120,000원/",12:00 - 22:00,4.8,59.0,,https://mp-seoul-image-production-s3.mangoplate.com/384189/244033_1561689612351_356009,86.0
DOMA,서울시 강남구 도곡동 423-10 B1,02-6925-4894,스테이크 / 바베큐,,,,11:00 - 23:00,4.5,81.0,,https://mp-seoul-image-production-s3.mangoplate.com/871840_1507801150413742.jpg,87.0
오펠레,서울시 마포구 염리동 161-5,02-707-2712,카페 / 디저트,,,,월-금: 11:30 - 22:00 토: 13:00 - 22:00,4.3,9.0,,https://mp-seoul-image-production-s3.mangoplate.com/47875_1599717990602878.jpg,88.0
요요스시,서울시 마포구 서교동 394-57,02-333-1944,회 / 스시,,,,11:30 - 22:30,4.3,35.0,,https://mp-seoul-image-production-s3.mangoplate.com/225013/qkmliticplpsb3.jpg,89.0
와플앨리,서울시 성북구 안암동5가 86-152,02-928-3115,카페 / 디저트,,,,,3.9,16.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/611543_1472407178344756.jpg,90.0
하노이바게트,서울시 성동구 성수동1가 685-696 갤러리아포레 101동 105호,02-6401-9055,베트남 음식,베트남연유커피,4300.0,"베트남연유커피:4,300원//포크바게트:7,000원//치킨바게트:7,000원/",11:00 - 19:30,4.0,38.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/440155_1461665043633650.jpg,91.0
야마토텐동,서울시 성북구 안암동5가 93-15,02-6326-1055,돈부리 / 일본 카레 / 벤토,,,,11:30 - 21:30,4.0,26.0,,https://mp-seoul-image-production-s3.mangoplate.com/1694255_1599131516446669.jpg,92.0
할머니의레시피,서울시 성동구 성수동1가 668-108,02-467-5101,한정식 / 백반 / 정통 한식,점심특선,8000.0,"점심특선:8,000원//숨뼈국:10,000원//얼큰숨뼈국:11,000원//바싹 불고기:22,000원//제육볶음:18,000원/",11:30 - 22:00,3.9,77.0,,https://mp-seoul-image-production-s3.mangoplate.com/461033_1526444797645349.jpg,93.0
영동소금구이,서울시 강남구 논현동 163 1F,02-547-6351,고기 요리,,,,15:00 - 02:00,4.4,19.0,,https://mp-seoul-image-production-s3.mangoplate.com/86746/34440_1439030442028833341,94.0
228-9,서울시 마포구 연남동 228-9,070-4244-2289,카페 / 디저트,드립커피,4800.0,"드립커피:4,800원//비엔나커피:5,800원//플레인 프렌치토스트:6,000원//초코 프렌치토스트:7,000원/",13:00 - 22:00,4.4,122.0,,https://mp-seoul-image-production-s3.mangoplate.com/187554/451895_1468060597910_42965,95.0
밍글스,서울시 강남구 청담동 94-6 힐탑빌딩 2F,02-515-7306,퓨전 한식,런치 코스,75000.0,"런치 코스:75,000원//디너코스:150,000원/",월-금: 12:00 - 22:30 토: 12:00 - 22:00,4.3,57.0,,https://mp-seoul-image-production-s3.mangoplate.com/534816_1512011342002740.jpg,96.0
로우키,서울시 성동구 성수동2가 302-16,"
카페 / 디저트
",,,,,"








",4.1,31.0,,https://mp-seoul-image-production-s3.mangoplate.com/supporters_admin/1jupzcjh_1squh.jpg,97.0
떡뽀이,서울시 성북구 안암동5가 15-32,02-988-1472,기타 한식,,,,10:00 - 04:00,3.3,18.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurant/141465_143611254015112941,98.0
마담밍,서울시 강남구 대치동 889-65 1F,02-567-6992,정통 중식 / 일반 중식,쟁반짜장 (2인분),20000.0,"쟁반짜장 (2인분):20,000원//짬뽕냉면:9,000원//마라탕면:13,000원//삼선 짬뽕:9,000원/",11:30 - 22:00,4.4,130.0,,https://mp-seoul-image-production-s3.mangoplate.com/52/245306_1450081291607_39499,99.0
부타이,서울시 강남구 대치동 956-6 B1,02-544-8422,정통 일식 / 일반 일식,,,,11:30 - 21:00,4.3,118.0,,https://mp-seoul-image-production-s3.mangoplate.com/596640_1587648218071805.jpg,100.0
우마텐,서울시 강남구 신사동 661-10 B1,02-548-5833,돈부리 / 일본 카레 / 벤토,우마텐동,9000.0,"우마텐동:9,000원//에비텐동:12,000원//아나고텐동:13,500원//스페셜텐동:16,000원//울드라우마텐동:21,000원/",15:00 - 18:00,4.3,142.0,,https://mp-seoul-image-production-s3.mangoplate.com/332874/834160_1567032268585_3719,101.0
Burger Bible,서울시 성북구 동선동2가 3-6 1F,02-6407-8202,브런치 / 버거 / 샌드위치,,,,11:00 - 22:00,4.0,20.0,,https://mp-seoul-image-production-s3.mangoplate.com/888465_1510454070258024.jpg,102.0
비야,서울시 성북구 안암동5가 15-85 1F,02-923-6070,탕 / 찌개 / 전골,,,,10:00 - 22:00,3.4,25.0,,https://mp-seoul-image-production-s3.mangoplate.com/41562/20140804_191/judy94s_1407119038953qs3yp_jpeg/20140606_195155.jpg,103.0
원조닭한마리,서울시 성북구 안암동5가 15-85 2F,02-925-8874,닭 / 오리 요리,,,,10:00 - 22:00,3.3,16.0,,https://mp-seoul-image-production-s3.mangoplate.com/191893_1425902748060,104.0
훼미리손칼국수,서울시 성동구 성수동1가 656-970,02-463-5036,국수 / 면 요리,,,,21:30,4.1,10.0,,https://mp-seoul-image-production-s3.mangoplate.com/501882_1503570114994736.jpg,105.0
초밥좋은날,서울시 성북구 동소문동5가 107,02-924-0933,회 / 스시,,,,일-목: 11:30 - 23:30 금-토: 11:30 - 01:00,3.6,41.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/455311_1457801274463791.jpg,106.0
