id,name,address,tel,category,main_mn,price,menu,opng_tm,rating,rvw_cnt,tags,img
None,조이빌리아드클럽,서울 강남구 역삼1동 819-1,02-555-2464,당구장,None,,None,None,4.23,None,"['쾌적한', '데이트']",http://ldb.phinf.naver.net/20150831_47/1440999628263XlYLz_JPEG/127080575425458_0.jpg
None,가보빌리어드클럽,서울 강남구 역삼동 823-24 지하1층,02-555-5601,당구장,None,,None,None,4.18,None,None,http://ldb.phinf.naver.net/20170123_36/1485150918806iHOEV_JPEG/186067557328729_0.jpeg
None,언주당구클럽,서울 강남구 역삼동 651-2,02-561-3949,당구장,None,,None,None,None,None,"['쾌적한', '깨끗한', '혼자', '신랑이랑']",http://ldb.phinf.naver.net/20150901_283/1441104060498DvB5A_JPEG/166580404242720_1.jpeg
None,취중다마,서울 강남구 논현동 163-17,02-3444-2211,당구장,None,,None,None,3.94,None,None,None
None,JS당구클럽,서울 강남구 삼성동 144-19 20번지 JS타워 지하 1층,02-6005-0304,당구장,None,,None,None,4.35,None,None,None
None,빌리어드 라운지 당구장,서울 강남구 신사동 536,02-6489-3949,당구장,None,,None,None,4.5,None,None,http://ldb.phinf.naver.net/20200528_214/1590668476480MJb2f_PNG/B6u_Hook7QWCVaumN7hkVYU2.png
None,선릉당구클럽,서울 강남구 대치4동 889-68 현대선릉 빌딩 지하 2층,070-8157-3949,당구장,None,,None,None,4.43,None,None,http://ldb.phinf.naver.net/20181029_13/1540814900101dpJHr_JPEG/eL8kL_dks1pfiRMIAwtuytC7.jpg
None,캐롬당구클럽,서울 강남구 대치동 996-15 태화빌딩 B1 삼성캐롬당구클럽,02-555-4939,당구장,None,,None,None,4.38,None,None,http://ldb.phinf.naver.net/20190117_87/1547702920295nck6a_JPEG/NBvnk-Ldi4t6EAWEsYqJ7PmM.jpeg.jpg
None,프로25,서울 강남구 역삼동 696-17,None,당구장,None,,None,None,4.54,None,None,None
None,J클럽,서울 강남구 대치동 891-43,02-2051-0755,당구장,None,,None,None,3.95,None,None,None
None,큐쓰리당구장,서울 강남구 역삼동 702-16 3층 큐쓰리당구장,02-553-9275,당구장,None,,None,None,4.45,None,None,http://ldb.phinf.naver.net/20190326_60/1553576019159yvkKB_JPEG/tilTw4PlbTGp5mzuxTjNTzb6.jpg
None,제우스당구클럽,서울 강남구 신사동 514-8,02-548-0906,당구장,None,,None,None,3.44,None,None,http://ldb.phinf.naver.net/20150831_53/1440994485652hWeEM_JPEG/106470458553797_0.jpg
None,강남당구장,서울 강남구 역삼동 823-38,070-8225-2371,당구장,None,,None,None,4.22,None,None,None
None,데이트당구장,서울 강남구 역삼동 826-29,02-501-1164,당구장,None,,None,None,3.93,None,None,None
None,삼성당구장,서울 강남구 대치동 946-15,02-508-4382,당구장,None,,None,None,4.71,None,None,http://ldb.phinf.naver.net/20181220_1/1545304002602W9Lwm_JPEG/khh2-hfJ5mIYOCNVjzqumqcL.jpg
None,맘모스당구클럽 24시간,서울 강남구 신사동 660-6 지하 1층,010-8108-8485,당구장,None,,None,None,3.7,None,None,http://ldb.phinf.naver.net/20160831_95/1472639357800zP7iB_JPEG/176781595936849_0.jpeg
None,논현당구클럽,서울 강남구 논현동 122-1,010-9174-0077,당구장,None,,None,None,4.17,None,None,http://ldb.phinf.naver.net/20170828_250/1503906952945U3sgQ_JPEG/XZL_O2vQ4jHmqgFex8IbWOtP.jpg
None,키키당구장,서울 강남구 역삼동 822 명선빌딩 303호,02-553-3949,당구장,None,,None,None,None,None,None,None
None,두당스,서울 강남구 역삼동 659-5 문화빌딩 지하 1층,070-4203-4850,당구장,None,,None,None,3.7,None,None,http://ldb.phinf.naver.net/20160509_96/1462759855863n1tTb_JPEG/176453637354674_0.jpeg
None,SP당구장,서울 강남구 수서동 726,02-3412-4384,당구장,None,,None,None,3.92,None,None,http://ldb.phinf.naver.net/20200301_23/1583051025994QPz6C_JPEG/iCrrTlj-BR8LLO3Nza5iHdQc.jpg
None,엠블당구클럽,서울 강남구 역삼동 721,02-552-3949,당구장,None,,None,None,4.25,None,None,http://ldb.phinf.naver.net/20190524_187/15587079546396BEw2_JPEG/EhkvAB06HcsVZyX0hZsKu4zG.jpg
None,스카이당구장,서울 강남구 청담동 132-4,02-547-1780,당구장,None,,None,None,4.5,None,None,None
None,강남당구클럽,서울 강남구 논현동 118-3,02-517-5007,당구장,None,,None,None,3.92,None,None,None
None,GS당구장,서울 강남구 역삼동 669-15,02-555-4142,당구장,None,,None,None,5,None,None,http://ldb.phinf.naver.net/20171011_286/1507710958084ED2SE_JPEG/tIR_S_nKqnpcnc4KqsOxpKGm.jpg
None,동우당구클럽,서울 강남구 역삼동 645-19 지하,070-8951-5652,당구장,None,,None,None,4,None,None,None
None,플러스당구장,서울 강남구 논현동 127-1,None,당구장,None,,None,None,4.75,None,None,http://ldb.phinf.naver.net/20190625_232/15614635437117Lyf2_JPEG/5xP2lABR13-cPro5xjqDJymo.jpeg.jpg
None,다빈치당구장,서울 강남구 대치동 890-44,070-8197-3300,당구장,None,,None,None,4,None,None,None
None,이스케이프탑 강남점,서울 강남구 역삼동 619-23,010-8758-5611,방탈출카페,None,"이벤트 1인 18,000원",None,None,4.41,None,None,http://ldb.phinf.naver.net/20180722_32/1532185224586ACjH5_JPEG/2.jpg
None,비트포비아 신논현,서울 강남구 논현동 201-6,02-6408-6408,방탈출카페,None,"2인 44,000원",None,None,4.62,None,"['탈출카페', '화이트데이', '재즈바', '재미있는', '숨겨진']",http://ldb.phinf.naver.net/20160926_243/1474868672852TPsE5_JPEG/176876547451781_0.jpeg
None,코드케이 방탈출카페,서울 강남구 역삼동 813-4 지하 1층 코드케이,02-501-8245,방탈출카페,None,"2인 44,000원",None,None,4.44,None,"['탈출카페', '보드게임방', '보드카페', '친절한', '데이트']",http://ldb.phinf.naver.net/20160512_206/14630294789996Jwkc_GIF/176462543455049_17.gif
None,서울이스케이프룸 강남2호점,서울 강남구 역삼동 619-2,02-501-6502,방탈출카페,None,인원에 따라 변동 변동가격(업주문의),None,None,4.69,None,None,http://ldb.phinf.naver.net/20190805_282/1565012778527aQN1n_JPEG/NUVEbCSYWkt55yN1-QzEAdIG.jpg
None,세븐클루스 강남 2호점,서울 강남구 역삼동 815,010-2617-6561,방탈출카페,None,"2인 44,000원",None,None,4.45,None,"['탈출카페', '데이트', '친절하고', '양꼬치', '신선한']",http://ldb.phinf.naver.net/20200120_39/1579498081142PklC1_JPEG/hsOdvTZ-B64ZjJp8_ngmAWOJ.jpg
None,마스터키 강남점,서울 강남구 역삼동  811-6 지하1층,02-558-6685,방탈출카페,None,"2인(인당) 22,000원",None,None,4.55,None,None,http://ldb.phinf.naver.net/20180914_23/1536914762753qfgPI_PNG/IhtlZpUXPOlUSGpLuoQEBoM4.PNG.png
None,홀릭이스케이프 압구정본점,서울 강남구 신사동 663-7,02-546-5552,방탈출카페,None,1인당 변동가격(업주문의),None,None,4.48,None,"['탈출카페', '데이트', '재방문', '재미있는', '딸과']",http://ldb.phinf.naver.net/20200427_8/1587990548238zlEeK_JPEG/s8Y1w6jFkBaihD_zXTJnCehJ.jpg
None,더메이즈,서울 강남구 역삼동 619-14,02-562-8850,방탈출카페,None,"2인 (인당) 22,000원",None,None,4.85,None,"['탈출카페', '데이트', '미로', '재미있는', '친구들이랑']",http://ldb.phinf.naver.net/20160314_205/1457959750118vOzxU_JPEG/176264617927538_0.jpeg
None,코드이스케이프 강남점,서울 강남구 역삼동 813-10,02-501-1303,방탈출카페,None,"1~2인 44,000원",None,None,4.45,None,"['탈출카페', '동물원', '게임방', '재미있는', '데이트']",http://ldb.phinf.naver.net/20160112_148/1452577639813bOEAV_JPEG/176062547739624_0.jpeg
None,코드이스케이프 가로수길,서울 강남구 신사동 541-15,02-541-7544,방탈출카페,None,"1~2인 이용요금 44,000원",None,None,4.61,None,"['탈출카페', '데이트', '재즈바', '친절한', '커플']",http://ldb.phinf.naver.net/20170109_204/14839522327483KUBA_JPEG/186054624127383_0.jpeg
None,480번가,서울 강남구 논현동 199-5,070-8833-0480,방탈출카페,None,"2인(인당) 25,000원",None,None,4.4,None,"['탈출카페', '재즈바', '게임장', '재미있는', '숨겨진']",http://ldb.phinf.naver.net/20190715_161/1563169232867kERcb_JPEG/AvndRdyO45LdUJIwJG4M9v2T.jpg
None,넥스트에디션 강남2호점,서울 강남구 역삼동 817-18,050-7457-6251,방탈출카페,None,"퀴즈 인 더 노블 22,000원",None,None,4.55,None,None,http://ldb.phinf.naver.net/20190828_283/15669871978752Jqhi_PNG/i_76cUIyW46Y_W5KTAV_LCW1.png
None,비트포비아 강남던전,서울 강남구 역삼동 824-25,02-555-4360,방탈출카페,None,"1인당 25,000원",None,None,4.5,None,None,http://ldb.phinf.naver.net/20190625_5/1561428193356lT194_JPEG/1YTqmMLdjUXO4hDlMH75_lGM.jpeg.jpg
None,넥스트에디션 강남5호점,서울 강남구 역삼동 818-13 지하1층,050-7457-6277,방탈출카페,None,"SOS(1인기준) 26,000원",None,None,4.67,None,None,http://ldb.phinf.naver.net/20200413_93/1586781379292NpJTN_JPEG/oj1mtg8YZSED0_w0lNwoWfT2.jpg
None,키이스케이프 강남더오름,서울 강남구 역삼동  827-37,010-5450-6082,방탈출카페,None,"NERD (네드) 인당 28,000원",None,None,4.79,None,None,http://ldb.phinf.naver.net/20190920_59/1568940239850SOmmH_JPEG/MUKbdeOQUX43xinZttX9hy32.jpeg.jpg
None,세븐클루스 강남1호점,서울 강남구 역삼동 825-1 동일빌딩 지하1층,010-6551-6561,방탈출카페,None,"2인 44,000원",None,None,4.4,None,None,http://ldb.phinf.naver.net/20200120_264/1579498278491Axpvz_JPEG/jm11vrQDLptMo2rHsGNPmKAV.jpg
None,라스트 이스케이프,서울 강남구 역삼동 817-36,02-567-3399,방탈출카페,None,"2인 기준 인당 22,000원",None,None,4.74,None,None,http://ldb.phinf.naver.net/20190901_181/1567318790033ufANl_JPEG/YZN9hqfdFhXU_6HErDzPaM7s.jpg
None,이스케이프 샾,서울 강남구 신사동 531,02-6203-3667,방탈출카페,None,"2인 44,000원",None,None,4.33,None,None,http://ldb.phinf.naver.net/20200616_143/1592299583902dU9xq_PNG/jWY-LfRy-w2z6m8pUHgeek24.png
None,더클루 강남점,서울 강남구 역삼동 814-1,02-566-4602,방탈출카페,None,"1~2인 44,000원",None,None,4.55,None,"['탈출카페', '유물', '데이트', '게임방', '숨겨진']",http://ldb.phinf.naver.net/20160131_2/1454213987816vnSnX_JPEG/176081534967656_0.jpeg
